Profession,Income,Credit_card_number,Expiry,Security_code,Fraud,Transaction_amount
DOCTOR,42509,3515418493460774,07/25,251,1,37716.96
DOCTOR,80334,213134223583196,05/32,858,1,94421.14
LAWYER,91552,4869615013764888,03/30,755,1,97594.15
LAWYER,43623,341063356109385,01/29,160,1,43593.74
DOCTOR,22962,4707418777543978402,11/30,102,0,3729.2
ENGINEER,72106,4483533221713,05/27,834,0,11709.86
DOCTOR,54992,348781654665997,06/30,207,0,6776.85
LAWYER,19996,38608157332988,12/26,433,0,8927.62
DOCTOR,54682,4495934016931879,01/32,872,0,18616.27
DOCTOR,74679,30107450695256,09/34,295,0,28619.16
ENGINEER,18932,4378127464575998663,09/32,637,0,2049.08
ENGINEER,7554,4277979999858536,10/31,360,0,3686.08
LAWYER,3092,3584353125903535,10/32,666,0,1338.77
LAWYER,35707,3566642280046540,02/33,652,1,28785.9
DOCTOR,48695,3509190113431000,09/25,901,1,38513.48
ENGINEER,7932,3598862315700018,11/33,831,1,6279.78
DOCTOR,5403,4728303889641271,10/31,962,1,4604.01
ENGINEER,52440,6011305111955735,04/27,3336,0,16251.29
LAWYER,1598,4786471014340,12/24,390,0,435.9
DOCTOR,53211,38604448050141,04/25,859,1,44996.0
LAWYER,54103,571979063658,04/33,228,1,54423.64
LAWYER,74329,6592329894337538,11/25,469,1,57214.52
ENGINEER,3784,4899733632669794,09/33,723,0,820.59
LAWYER,93669,347167113631542,03/30,547,0,23093.6
DOCTOR,72324,36674486727001,05/33,783,1,67119.2
LAWYER,62306,4514788813299,11/28,141,0,25799.07
DOCTOR,22144,4330275529855384551,06/27,457,1,17711.59
ENGINEER,7286,5470392481549252,02/28,758,1,6973.56
DOCTOR,4885,2247057643520090,11/26,288,0,1646.08
LAWYER,4829,30410458019135,02/25,852,1,3492.45
ENGINEER,80900,38269305641638,01/30,882,0,27750.15
DOCTOR,86156,30084059321297,02/34,962,1,67655.04
ENGINEER,30627,375169591033220,12/24,871,1,22435.07
DOCTOR,4195,4792890479814707,06/34,279,0,2011.73
DOCTOR,86553,4340098493416212112,12/33,282,0,42086.64
DOCTOR,99484,2567867494423778,01/32,686,1,109850.1
ENGINEER,83925,370522502935666,03/26,677,1,71529.86
DOCTOR,35956,213118318256057,07/29,848,0,5000.36
ENGINEER,13039,3561835251466870,12/33,241,0,4872.59
DOCTOR,84764,213185684197843,08/29,817,1,77989.34
LAWYER,17564,4902419569172045,11/28,777,1,13366.54
LAWYER,69645,371030681064497,04/33,4108,1,65994.8
DOCTOR,37159,6011824682411928,10/29,428,0,4227.04
LAWYER,20653,5363884342348650,04/32,958,1,23847.2
DOCTOR,40682,3501682453218433,08/32,791,1,33741.24
ENGINEER,8051,3545511695093858,09/30,22,1,8302.68
ENGINEER,16701,213196024854928,01/25,741,1,14293.64
DOCTOR,35273,30280051238568,05/33,203,1,33863.28
DOCTOR,61284,4598579635222170,03/33,3575,0,19530.24
LAWYER,24571,4767152850301,04/30,857,0,4273.92
LAWYER,48247,4326724295030,10/33,792,0,23536.52
LAWYER,50909,213121247525006,07/25,30,0,20875.39
ENGINEER,31303,213111809277278,04/34,543,0,14893.95
LAWYER,99465,4348585173981,06/34,900,1,114127.5
DOCTOR,24501,180010917468143,12/24,521,0,8309.76
ENGINEER,17115,4322932379913061,09/25,810,1,19869.44
LAWYER,56577,4024818136843966706,09/26,707,0,7660.36
LAWYER,40822,3547046667959073,12/30,926,0,7282.36
ENGINEER,68802,343528279002931,08/26,759,1,49717.26
ENGINEER,18967,376540917589518,03/25,366,0,4364.92
ENGINEER,37863,370288959577209,07/25,8877,0,9672.9
LAWYER,94751,3587481145648751,06/31,612,1,79181.0
LAWYER,67976,213116528444646,10/30,274,0,29331.3
ENGINEER,21382,213130691839037,12/30,574,1,18781.45
LAWYER,36418,5195036591687999,07/27,757,0,7734.23
DOCTOR,70186,213169852910138,10/29,601,1,68175.03
ENGINEER,62089,213109200316315,05/31,560,0,9708.84
LAWYER,52845,6011428463559515,01/31,747,0,22241.34
DOCTOR,37583,3517693855646693,01/28,715,0,4879.03
ENGINEER,62273,3563093124187764,08/28,856,1,74319.31
DOCTOR,17465,4094082189595006017,05/30,694,1,18969.13
ENGINEER,90027,4121944605542,06/26,664,1,71963.79
ENGINEER,26496,4813325639913961,05/28,120,0,2708.13
DOCTOR,10372,3593942698048923,03/25,947,1,11489.38
ENGINEER,26953,374021058407416,11/33,5079,0,10316.07
LAWYER,57744,4664429488953795,10/28,0,1,61468.69
DOCTOR,80642,30512511581041,01/29,323,0,32942.91
DOCTOR,31370,4880174078938107,02/27,2905,1,23120.39
ENGINEER,46728,6011222066157292,12/32,389,0,11372.95
LAWYER,80677,180039440000560,03/32,607,0,11806.89
ENGINEER,76416,3501619168661911,12/28,6079,1,86468.66
ENGINEER,53387,4152012706465286,03/29,8,0,18649.11
ENGINEER,1088,4802036676519131,09/34,451,1,941.61
ENGINEER,36883,376386216650027,08/26,429,0,4625.99
LAWYER,8494,4603630405825081,01/32,312,1,7266.54
ENGINEER,17597,4828610292682,02/32,907,0,4048.6
LAWYER,48497,30522465797139,03/34,328,1,51639.76
DOCTOR,9704,6011986968484802,03/25,503,0,3445.14
DOCTOR,7181,213176129423852,05/34,628,0,3266.53
DOCTOR,53764,630491294363,03/28,739,1,50328.88
LAWYER,26375,4267458412849,02/26,994,0,3899.22
ENGINEER,31476,213152337376901,06/27,381,0,12127.64
LAWYER,57380,3560713080573979,02/31,86,1,61992.92
DOCTOR,14757,3563823082653013,10/25,852,1,14471.28
DOCTOR,81197,348391504636659,03/31,180,1,88138.01
LAWYER,13497,4465810944041385,03/30,193,1,12780.28
LAWYER,19204,4711633310713188932,05/30,3416,0,5935.82
ENGINEER,46543,4526546698892711971,04/34,591,1,42529.62
ENGINEER,95753,3532597970381261,01/33,701,0,10548.88
DOCTOR,30115,36947763325990,03/33,3736,1,22705.08
ENGINEER,22915,6011854656459017,06/25,958,0,2579.58
DOCTOR,45906,4208390968214921,02/31,918,1,46741.73
DOCTOR,55645,5124330088994224,04/26,268,0,12561.44
DOCTOR,22511,4813177974195,06/26,988,1,21481.92
DOCTOR,84240,4254963803250251,02/31,101,0,39005.36
ENGINEER,78289,4561583219526744,01/34,435,1,64560.72
DOCTOR,52236,676377892564,01/33,737,0,13798.3
DOCTOR,72426,4643525435122149278,08/25,627,1,78058.97
LAWYER,71887,4137693376762,07/34,110,0,13767.75
LAWYER,52054,4477806271660,10/27,854,0,6808.24
ENGINEER,21481,3565463460332498,07/25,58,1,18148.78
ENGINEER,45660,5127642381158423,12/26,420,0,7510.55
DOCTOR,10777,3565428691761807,04/29,397,0,5085.44
LAWYER,17071,180099073476156,01/25,823,1,18847.41
ENGINEER,69716,6567370375957593,04/26,1092,0,24634.95
LAWYER,32226,30077042961682,07/29,808,0,14456.08
DOCTOR,94507,4090621316061783,10/25,451,1,104131.22
ENGINEER,97994,4091523393124790,04/30,172,0,17112.5
ENGINEER,36667,3572579767980514,12/26,821,1,42030.63
LAWYER,55791,3539934661765044,10/26,891,1,54098.92
DOCTOR,11771,4104571212881504985,02/26,696,1,12991.89
ENGINEER,2760,180069397356913,05/30,794,1,3168.61
LAWYER,54373,6588697949332191,03/32,624,0,12353.62
LAWYER,4622,6011673343661425,01/31,684,1,3489.73
DOCTOR,56530,180032930390906,04/28,981,0,10807.07
LAWYER,79089,372932267239402,03/26,25,0,21420.71
DOCTOR,38147,569200930174,06/33,327,1,42305.3
DOCTOR,28657,4438207237689240,07/31,484,1,32392.88
LAWYER,13724,6011122993429808,04/33,841,0,1410.56
ENGINEER,48878,3539544471718941,04/33,9,1,46696.75
LAWYER,49531,36001784647865,08/31,165,1,45009.09
LAWYER,966,630460813292,02/30,671,1,783.48
ENGINEER,76369,4541398309790430,10/25,879,0,11298.5
DOCTOR,65156,213186085004109,12/31,406,0,15314.66
DOCTOR,70325,4733339043577731,05/32,271,0,33556.55
ENGINEER,16684,6546217357258753,06/33,245,0,3825.33
DOCTOR,76281,2458623848776615,08/25,446,0,23457.65
DOCTOR,7929,4047991017196541,05/31,186,1,8337.42
ENGINEER,94994,4450697668902844989,11/24,81,0,23316.45
DOCTOR,8015,377666928852303,03/32,239,1,9504.92
ENGINEER,76149,3566442261829661,07/30,68,0,36930.66
DOCTOR,90066,3572581802774910,12/29,6124,0,18077.41
DOCTOR,1713,3586981324378220,07/34,938,0,512.01
LAWYER,91673,3574594498182775,09/30,89,1,77962.31
ENGINEER,5044,4900782350715113882,08/28,4127,1,4249.17
DOCTOR,15062,4299342860517422,12/29,908,1,10821.2
LAWYER,43099,3573492402161616,04/33,867,1,43305.11
LAWYER,13764,6528310552888763,06/28,385,1,13094.24
LAWYER,69934,2720456296310047,11/28,221,1,50753.86
DOCTOR,95730,3510522195046859,07/27,802,0,20242.93
DOCTOR,61112,3554958282893877,06/25,876,1,70531.37
ENGINEER,23457,4733735590552524,03/27,221,0,4593.46
DOCTOR,63591,4843094547657433,07/32,9043,1,49120.7
LAWYER,99728,5170516895788139,07/26,694,1,94215.67
DOCTOR,60303,501891228964,09/32,897,0,29805.37
DOCTOR,51273,342068980932341,03/25,829,0,10091.66
DOCTOR,83792,4297548277878,06/27,676,1,86814.19
DOCTOR,64905,3512873687795570,10/28,747,1,70149.96
LAWYER,98375,340392243663549,06/31,981,0,19188.54
ENGINEER,93862,568750525079,10/34,318,1,99879.32
DOCTOR,58580,3531829306487681,02/29,779,0,14475.89
LAWYER,53542,4984166771936151,10/27,935,0,18896.17
DOCTOR,50674,4176583855826876,12/26,179,1,51523.54
LAWYER,51020,5330762795677223,09/27,843,1,49381.61
LAWYER,17534,30018328917287,09/26,698,0,2386.66
DOCTOR,99151,675964045404,01/27,19,0,43043.53
LAWYER,98581,4326636204962424235,08/25,677,1,84818.11
DOCTOR,83211,4618189817763754616,11/27,844,1,66007.9
DOCTOR,72227,4863174480852,12/29,933,0,8400.73
ENGINEER,55878,4300834141756792,01/28,943,0,18794.97
DOCTOR,98905,4808340961012,12/30,822,1,102740.75
DOCTOR,15850,343257262760731,09/29,676,1,11226.46
ENGINEER,87271,6507961716165020,12/30,631,1,83435.14
ENGINEER,85199,4521587249682,07/30,205,1,69287.91
DOCTOR,61090,4606235827334,01/25,73,1,62469.8
ENGINEER,55965,4856569030043,07/34,149,1,44054.71
DOCTOR,890,30054638400318,08/28,915,0,334.97
ENGINEER,75254,342742397480819,07/27,916,1,67229.49
ENGINEER,7844,503881065232,12/24,989,1,9164.66
ENGINEER,306,4369014560581264,01/31,712,1,235.24
ENGINEER,97953,30445495635097,04/27,649,0,23158.69
LAWYER,15229,180081349692212,07/34,894,1,11524.34
